member_id,national_id,full_name,age,gender,income_level,employment_status,region,registration_date,is_subsidized,nhif_migrated
161,6516630303,Gerald Rivera,36,F,High,Self-employed,Nyanza,2023-02-26,True,False
162,0001855917,Jennifer Adams,28,F,High,Unemployed,Central,2023-08-24,False,True
163,4148618851,Megan Daniels,69,M,Low,Self-employed,Coast,2025-01-15,False,False
164,5542100523,Joe Evans,27,M,High,Unemployed,North Eastern,2022-09-23,False,True
165,9510859297,Gail Jensen,55,M,Middle,Employed,North Eastern,2023-12-23,True,True
166,3208656958,Brandi Barnett,50,M,Middle,Self-employed,Nairobi,2023-06-07,True,False
167,7752456691,Carl Hale,53,M,Middle,Unemployed,Eastern,2023-06-17,True,True
168,5394789780,Amy Ross,62,F,Middle,Unemployed,Eastern,2024-02-24,False,False
169,4960859700,David Harris,72,F,Low,Employed,Western,2023-02-03,False,True
170,7686251524,John Alvarado,69,F,Middle,Unemployed,Western,2022-06-24,True,False
171,3226319004,Michael Powell,69,M,High,Self-employed,Rift Valley,2023-11-18,False,False
172,3391776679,Katherine Luna,69,M,Low,Self-employed,Nyanza,2024-05-05,True,True
173,4523521247,Donald Randall,31,F,High,Employed,North Eastern,2024-04-17,True,False
174,2384484702,Jared Castillo,80,F,Middle,Self-employed,Nyanza,2023-12-29,True,False
175,4645307428,Matthew Perkins,28,M,High,Unemployed,Coast,2023-09-25,True,True
176,6799843712,Eileen Mclean,34,M,High,Unemployed,Western,2024-12-23,True,False
177,3598092029,Regina Barron,65,M,Middle,Self-employed,Central,2022-12-03,True,True
178,7472330445,Sierra Thompson,67,F,High,Unemployed,Central,2023-05-30,False,True
179,8441045909,John Chang,23,M,High,Unemployed,Nairobi,2024-04-27,True,True
180,2193641950,Kevin Baker,49,F,High,Unemployed,Coast,2024-05-17,True,True
181,6446775299,Kelly Johnson,47,F,Middle,Unemployed,Rift Valley,2022-05-30,True,False
182,9469149696,Robert Lee,75,F,Middle,Self-employed,Nairobi,2024-04-03,False,False
183,0605251995,Mrs. Beth Nelson,71,M,High,Unemployed,Nyanza,2024-08-29,True,False
184,6779990429,Tracy Brewer,28,M,Middle,Employed,North Eastern,2022-12-22,False,True
185,2004591925,Mrs. Chelsey White,23,M,High,Self-employed,Nyanza,2023-11-05,False,True
186,0224399104,Candice Smith,69,F,Middle,Employed,Western,2025-04-15,False,True
187,3415156814,Sheila Perez,46,F,Low,Self-employed,Rift Valley,2023-04-05,True,True
188,5733623393,Christopher Christensen,74,M,Low,Employed,Western,2022-09-30,False,True
189,5202691104,Michael Alvarez,61,M,High,Self-employed,Coast,2023-09-02,True,True
190,7305356541,Brian Baker,54,M,Low,Employed,Coast,2023-05-11,False,False
191,5989086007,James Raymond,45,M,Low,Self-employed,Rift Valley,2023-04-28,False,False
192,2862651755,Joann Snyder,48,M,Low,Employed,Nairobi,2024-06-01,False,False
193,4477661091,Joanna Norris,60,F,High,Employed,North Eastern,2024-11-08,True,False
194,9205735389,Kenneth Delacruz,49,F,Low,Self-employed,Nyanza,2023-05-21,False,False
195,9866952522,Jennifer Harper,56,F,Middle,Unemployed,Central,2023-01-03,False,False
196,6513124508,Kelly Freeman,62,M,Middle,Employed,Coast,2022-12-03,False,True
197,3035732660,Randy Oliver,56,M,Low,Unemployed,Eastern,2023-09-03,True,False
198,1368124497,Rebecca Green,65,F,High,Employed,Eastern,2023-01-15,True,True
199,2568374124,Michelle Huynh,56,M,Low,Employed,Eastern,2023-08-09,False,True
200,5602129835,Jeffrey Griffin,23,M,Middle,Employed,Rift Valley,2025-02-01,False,False
